District,Owned_F,Owned_M,Rented_P,Rented_Gov,Rent_F,Leased,Squatted,OtherTen_DK,LO_Own,LO_Lease,LO_Rented,LO_Perm,LO_Squat,LO_Other_DN,Wood,CoCoB,WPCon,St_Ad_Br,Makeshift,Plywood,OtherMat,Room1,Room2,Room3,Room4,Room5,Room6,Room7plus
Area01,301,18,68,306,9,0,0,48,157,0,131,0,120,342,134,475,55,1,1,82,2,30,234,209,130,85,31,31
Area02,2026,189,1064,54,212,2,2,99,1535,10,1138,7,126,832,986,1596,936,3,3,121,3,168,492,702,898,785,329,274
Area03,12360,1515,3791,59,898,19,13,241,9668,127,5117,142,880,2962,4155,8872,3632,26,22,2177,12,644,2297,3776,4902,4028,1733,1516
Area04,1534,140,227,0,236,12,0,21,994,15,837,9,21,294,639,717,400,2,5,402,5,136,384,508,568,341,137,96
Area05,464,13,198,0,86,0,3,24,406,3,217,3,14,145,292,333,95,0,3,65,0,121,108,107,204,121,85,42
Area06,1621,124,762,99,214,6,5,55,1494,92,699,24,122,455,527,1871,347,7,14,116,4,199,327,354,681,637,456,232
Area07,1696,112,110,0,114,1,3,42,1181,24,280,7,18,568,286,1304,264,13,16,188,7,68,204,248,522,524,308,204
Area08,1736,153,150,0,110,1,0,38,1146,7,573,34,177,251,456,1161,328,6,4,229,4,64,218,298,542,614,264,188
Area09,4121,335,903,6,228,12,9,51,2510,235,814,16,1509,581,762,3208,789,1,6,896,3,219,611,908,1423,1427,655,422
Area10,4399,314,445,0,308,13,8,136,2798,89,1119,54,588,975,976,2875,820,3,0,947,2,158,771,874,1288,1246,721,565
Area11,3374,71,550,1,376,2,10,35,1321,22,710,6,1745,615,780,1793,730,0,3,1107,6,174,674,824,1179,962,381,225
Area12,5421,1727,2098,5,329,49,5,170,5340,111,2509,80,119,1645,1434,6147,1217,7,9,976,14,249,908,1727,2418,2135,1087,1280
